hinc,unemployed,age,married,migback,health,happiness
4200,0,44,1,1,7,8
4000,0,36,1,0,8,8
4200,0,37,1,0,9,9
1600,0,58,0,1,0,5
1600,0,22,0,1,4,5
3900,0,56,1,1,6,7
3900,0,59,1,1,6,8
3000,0,86,1,0,6,8
3000,0,81,1,0,6,8
2450,0,75,1,0,8,8
2450,0,72,1,0,1,1
5780,0,47,1,0,8,8
3600,0,56,1,0,8,9
1200,0,67,0,0,4,7
4300,0,46,1,0,8,8
3300,0,39,1,0,8,8
2000,0,74,0,0,5,7
6500,0,48,1,0,7,6
6500,0,49,1,0,8,8
3000,0,50,0,0,7,9
3500,0,51,0,0,3,8
2000,0,82,0,1,7,6
1900,0,53,1,0,7,7
1900,0,51,1,0,5,7
1900,0,27,0,0,7,7
699,1,49,0,0,7,8
2630,0,47,1,1,7,9
4400,0,50,1,0,7,8
2400,0,55,0,0,8,3
NA,0,64,0,0,7,8
2100,0,25,0,0,8,9
4600,0,46,1,0,8,8
20000,0,57,1,0,8,8
20000,0,52,1,0,8,9
20000,0,20,0,0,10,9
20000,0,18,0,0,8,4
NA,0,59,1,0,9,9
NA,0,54,1,0,5,6
NA,0,24,0,0,4,6
6100,0,67,1,0,7,8
6100,0,65,1,0,8,8
1518,0,80,0,0,9,9
2300,0,56,1,1,7,8
2300,0,68,1,0,3,7
3100,0,46,0,0,8,5
6400,0,56,0,0,9,8
6400,0,24,0,0,10,8
3500,0,56,1,0,5,5
4200,0,54,1,0,7,7
2500,0,51,0,1,5,5
NA,0,77,0,0,5,4
2200,0,61,0,0,5,8
2400,0,68,0,1,5,7
3300,0,64,1,0,8,8
3300,0,59,1,1,7,8
NA,0,33,0,0,7,8
3500,0,31,1,0,7,7
1400,0,76,1,0,3,7
1400,0,76,1,0,7,7
2300,0,77,1,0,7,9
2300,0,76,1,0,5,7
5300,0,42,1,1,9,8
700,0,92,0,0,5,3
2000,0,60,0,0,7,8
1400,0,63,0,0,6,5
1500,0,69,0,0,9,9
1300,0,66,0,0,6,8
1750,0,59,0,0,9,8
2800,0,47,0,0,8,8
6000,0,46,1,0,8,8
1190,0,85,0,0,7,9
5000,0,55,0,0,7,8
420,0,49,0,0,4,7
5000,0,53,1,0,6,9
4800,0,28,0,0,9,9
3600,0,60,1,0,5,7
3600,0,58,1,0,7,9
8000,0,35,1,0,8,8
NA,0,58,1,0,7,7
NA,0,56,0,0,8,8
5000,0,55,1,0,5,8
2000,0,64,0,1,9,6
1700,0,80,0,0,6,8
3100,0,72,1,0,5,7
3100,0,70,1,0,7,8
3000,0,38,0,0,8,7
3100,0,31,0,0,5,9
2600,0,52,1,0,3,2
8000,0,54,1,0,8,8
2100,0,62,0,1,6,7
2500,0,52,1,0,5,6
3700,0,27,0,0,3,1
1350,0,25,0,0,6,7
4300,0,68,1,0,5,5
4300,0,67,1,0,4,4
6000,0,47,1,0,6,5
3200,0,52,0,0,6,7
3200,0,51,0,0,10,10
4700,0,51,1,0,0,5
5900,0,46,1,0,3,4
4700,0,45,1,0,5,6
3300,0,70,0,0,9,8
NA,0,86,1,0,8,9
NA,0,85,1,0,4,5
1000,0,71,0,0,8,7
2500,0,76,0,0,6,7
NA,0,66,0,0,8,8
1700,0,66,1,0,9,8
1700,0,65,1,0,7,7
3580,0,71,1,1,5,6
3580,0,68,1,0,8,8
5000,0,30,0,1,6,8
1850,0,73,0,0,4,7
3750,0,56,1,0,7,7
3750,0,55,1,1,7,8
3750,0,20,0,1,10,9
NA,0,62,0,0,2,7
2220,0,68,0,0,8,8
2900,0,80,0,0,7,8
1300,0,86,0,0,5,7
5500,0,51,1,0,8,8
2300,0,67,0,0,8,6
6000,0,51,1,1,8,7
8500,0,48,1,0,5,9
5600,0,74,1,0,7,7
5600,0,70,1,0,7,8
2000,0,77,0,0,1,8
3540,0,39,0,0,7,9
5000,0,36,1,0,8,8
2553,0,84,1,1,3,2
2553,0,74,1,0,3,6
3900,0,43,1,1,8,7
6762,0,50,1,0,9,9
1813,0,71,0,1,NA,7
3750,0,50,1,0,4,5
2200,0,69,1,0,3,3
2200,0,69,1,1,7,6
5200,0,46,1,0,7,8
NA,0,82,1,0,7,8
NA,0,75,1,0,4,9
8500,0,50,1,0,9,8
5700,0,46,1,0,4,NA
1300,0,83,0,1,2,7
2000,0,81,1,0,3,7
2000,0,80,1,1,4,8
5000,0,52,1,0,8,8
6000,0,46,1,0,8,8
NA,0,70,1,0,4,7
NA,0,64,1,0,6,8
NA,0,32,0,0,7,8
NA,0,55,1,0,8,9
NA,0,55,1,0,8,10
NA,0,24,0,0,9,8
NA,0,18,0,0,9,8
2478,0,61,1,0,5,8
2478,0,66,1,0,9,8
1300,0,39,0,0,3,4
2737,0,69,1,0,2,1
2737,0,61,1,0,6,7
879,0,77,0,0,6,5
2800,0,52,0,0,5,9
3800,0,33,0,0,8,8
600,0,84,1,0,8,8
600,0,76,1,0,7,7
2500,0,47,1,0,8,7
3500,0,46,0,0,9,9
1500,0,73,0,0,5,4
7000,0,51,1,0,8,8
5600,0,50,1,0,7,7
1560,0,83,1,0,4,8
2300,0,50,1,0,6,6
4000,0,45,1,0,6,7
2400,0,72,1,1,2,7
2400,0,66,1,0,6,7
4000,0,48,1,0,4,8
4800,0,46,1,0,6,7
4000,0,73,1,0,4,7
4000,0,72,1,1,6,6
4000,0,32,0,1,7,7
1180,0,84,1,0,4,4
1180,0,72,1,1,7,8
3200,0,45,0,0,8,7
4000,0,36,1,0,8,8
2000,0,68,1,0,8,8
2000,0,61,1,1,3,5
3700,0,50,1,0,6,7
1200,0,41,0,0,3,2
1500,0,64,0,1,4,5
1260,0,67,0,0,7,8
1400,0,79,0,0,2,6
1050,0,78,0,0,4,8
5500,0,56,1,0,3,7
5500,0,52,1,0,4,6
3500,0,56,0,0,6,6
827,0,55,0,0,3,3
3500,0,43,1,0,3,6
3500,0,51,1,0,3,8
4500,0,51,0,0,6,3
NA,0,59,0,0,3,5
1900,0,57,0,0,5,8
2200,0,44,0,0,6,6
3000,0,42,1,0,7,8
1300,0,76,0,0,7,8
829,0,84,0,0,8,8
1250,0,79,0,1,2,7
4200,0,42,1,1,7,8
1300,0,78,0,0,8,9
7000,0,45,1,0,8,8
3600,0,45,1,0,8,5
2900,0,72,0,0,6,7
NA,0,82,1,0,4,NA
NA,0,78,1,0,3,NA
500,0,48,0,0,7,8
3100,0,44,1,0,5,8
