unemployed,educ,health,age,female,migback
0,11,7,49,0,1
0,10.5,8,51,0,1
0,9,5,62,0,1
0,9,5,58,1,1
0,9,5,39,1,1
0,11,8,71,0,0
0,12,5,54,1,0
0,9,4,59,0,1
0,9,6,54,1,1
0,11.5,7,32,0,1
0,9,4,74,1,1
0,11.5,8,50,1,1
0,9,5,68,0,1
0,9,6,59,1,1
1,13,10,33,1,1
0,10.5,6,52,1,1
0,10,7,48,1,1
0,9,7,44,0,1
0,10,6,66,0,1
0,11.5,5,66,1,1
0,12,9,43,0,1
1,10.5,7,64,0,1
0,11.5,7,54,1,1
1,10.5,3,56,0,1
0,12,7,57,1,1
0,10.5,7,75,0,1
0,10.5,2,74,1,0
0,14,6,65,0,1
0,9,5,62,1,1
0,12,7,55,0,1
0,10.5,7,50,1,1
0,NA,6,26,1,1
0,9,5,49,1,1
0,10.5,2,47,1,1
0,9,3,78,1,1
0,15,8,46,1,1
0,18,9,45,0,1
0,12,5,44,1,1
0,11,3,52,0,1
0,9,8,56,1,1
0,9,5,51,1,1
0,14,8,48,0,1
0,11,5,49,0,1
0,10.5,7,43,0,1
0,12,6,40,1,1
0,12,7,39,1,1
0,7,8,67,0,1
0,7,2,61,1,1
0,NA,7,39,1,1
0,10,10,22,1,1
